Ref,Val,Package,PosX,PosY,Rot,Side
"R58","PV-EC-RES-007-1K5","0402",18.600000,35.400000,180.000000,top
"R59","PV-EC-RES-007-1K5","0402",18.600000,36.500000,180.000000,top
"R504","PV-EC-RES-007-10K","0402",18.600000,30.750000,180.000000,top
"R508","PV-EC-RES-007-10K","0402",18.600000,31.750000,180.000000,top
"R509","PV-EC-RES-007-10K","0402",18.600000,33.800000,0.000000,top
"U1","PV-EC-PWR-008-002","SOT-23-5",59.750000,23.000000,0.000000,top
"U4","PV-EC-PWR-008-002","SOT-23-5",53.250000,23.000000,0.000000,top
"U6","PV-EC-AIC-003-006","QFN-28-5x5-EP",56.250000,31.750000,90.000000,top
"U301","PV-EC-SOC-003-004","MAPBGA-289-14x14",39.730000,30.670000,0.000000,top
"U401","PV-EC-MEM-008-4G","FBGA_96_DDR3L_Combo",24.730000,30.670000,180.000000,top
"U701","PV-EC-PWR-005-001","SOT-23-5",12.450000,38.100000,180.000000,top
"U702","PV-EC-PWR-005-001","SOT-23-5",12.450000,28.600000,180.000000,top
"Y1","PV-EC-CLK-003-007","CRY_2x1.6",46.500000,20.600000,0.000000,top
"Y2","PV-EC-CLK-003-004","CRY_2x1.2",41.050000,22.550000,0.000000,top
"Y3","PV-EC-CLK-004-004","OSC_5x7.5x2.5",70.100000,26.950000,180.000000,top
"Y4","PV-EC-CLK-004-005","OSC_5x7.5x2.5",70.100000,20.200000,0.000000,top
